epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,53307.3,0.45687,0.30111,0.79088,0.99934,1,0.995,0.94292,0.36552,0.28267,0.80665,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,53562.4,0.44719,0.30616,0.79441,0.99936,1,0.995,0.93667,0.35964,0.27005,0.80559,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,53819.4,0.42333,0.29898,0.79011,0.99931,1,0.995,0.94547,0.36673,0.26948,0.80596,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,54077.8,0.43564,0.29206,0.79102,0.99925,1,0.995,0.95401,0.33921,0.25998,0.80441,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,54297.4,0.41363,0.28402,0.79298,0.99933,1,0.995,0.94764,0.36004,0.25829,0.80365,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,54498,0.44366,0.30241,0.79589,0.99926,1,0.995,0.94945,0.34045,0.27648,0.80216,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,54719.7,0.3885,0.27656,0.79131,0.99927,1,0.995,0.93486,0.35718,0.26681,0.80443,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,54977.8,0.42916,0.2927,0.78663,0.99925,1,0.995,0.9442,0.33772,0.25313,0.80192,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,55242,0.39718,0.27636,0.79019,0.9993,1,0.995,0.95513,0.33104,0.24839,0.80182,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,55487,0.38529,0.27001,0.7918,0.99933,1,0.995,0.96866,0.31568,0.23814,0.80311,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,55685.3,0.40435,0.28341,0.79354,0.99942,1,0.995,0.9598,0.33167,0.25785,0.80329,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,55889.5,0.3953,0.28048,0.79039,0.9995,1,0.995,0.94917,0.32388,0.24442,0.80025,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,56095.3,0.39771,0.27114,0.79047,0.99951,1,0.995,0.95796,0.32021,0.23763,0.80138,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,56299.4,0.37783,0.27312,0.79304,0.9995,1,0.995,0.96206,0.30613,0.23178,0.79864,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,56504.6,0.39137,0.27152,0.79336,0.99946,1,0.995,0.95415,0.33263,0.24329,0.80215,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,56709.3,0.40786,0.27476,0.78437,0.99943,1,0.995,0.95639,0.31938,0.24407,0.80175,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,56913.7,0.40428,0.27894,0.78105,0.99937,1,0.995,0.95195,0.32663,0.24705,0.80145,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,57118.6,0.38394,0.26493,0.79762,0.99933,1,0.995,0.9669,0.30873,0.23303,0.80169,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,57323.7,0.38578,0.26671,0.7865,0.99932,1,0.995,0.96295,0.31451,0.23885,0.80171,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,57528.3,0.3769,0.26331,0.79943,0.99932,1,0.995,0.96138,0.32561,0.23848,0.80396,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,57732.4,0.38114,0.26342,0.7958,0.99939,1,0.995,0.95654,0.3226,0.24073,0.80269,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,57936.8,0.37749,0.26535,0.79412,0.99943,1,0.995,0.96647,0.29377,0.23232,0.79917,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,58141.4,0.37665,0.2625,0.79505,0.99946,1,0.995,0.96477,0.30838,0.23536,0.80118,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,58346.3,0.35498,0.2609,0.78979,0.99947,1,0.995,0.96675,0.30918,0.24055,0.80017,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
